i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
18,11.0,0.125398,0.580604,0.473781,1.471600,0.232300,AUT,19021470.588812,0.003444,0.002858,0.002870,0.070207,0.001195,neutron,pi+,solid
19,11.0,0.213689,0.407106,0.474227,1.767830,0.115264,AUT,6001117.508056,0.004780,0.004713,0.004720,0.070207,0.001365,neutron,pi+,solid
20,11.0,0.107738,0.651847,0.473784,1.394078,0.591646,AUT,18581274.428361,0.002283,0.002271,0.002270,0.070207,0.001163,neutron,pi+,solid
21,11.0,0.223181,0.386772,0.473079,1.766498,0.598804,AUT,1751437.744387,0.009286,0.015795,0.015874,0.070207,0.001385,neutron,pi+,solid
22,11.0,0.148449,0.530920,0.523954,1.548136,0.207815,AUT,19282661.979108,0.002909,0.002624,0.002633,0.070207,0.001242,neutron,pi+,solid
23,11.0,0.285598,0.319602,0.524393,1.883567,0.177209,AUT,271240.575670,0.048720,0.036440,0.037220,0.070207,0.001518,neutron,pi+,solid
24,11.0,0.111880,0.644275,0.524102,1.413564,0.666292,AUT,18614748.729038,0.002330,0.002304,0.002300,0.070207,0.001174,neutron,pi+,solid
25,11.0,0.248742,0.359348,0.518384,1.843740,0.608166,AUT,134047.451803,0.042413,0.071162,0.072716,0.070207,0.001446,neutron,pi+,solid
26,11.0,0.129083,0.578707,0.574101,1.487000,0.302531,AUT,18506430.512721,0.003332,0.002834,0.002844,0.070207,0.001213,neutron,pi+,solid
27,11.0,0.236352,0.371643,0.574023,1.798714,0.146130,AUT,2293103.584738,0.008355,0.008137,0.008138,0.070207,0.001433,neutron,pi+,solid
28,11.0,0.110769,0.645970,0.574301,1.401396,0.802598,AUT,9657556.187177,0.003163,0.003157,0.003148,0.070207,0.001178,neutron,pi+,solid
29,11.0,0.131777,0.575711,0.623841,1.489437,0.370775,AUT,19245592.743362,0.002944,0.002630,0.002630,0.070207,0.001225,neutron,pi+,solid
30,11.0,0.254984,0.348971,0.622040,1.833894,0.163158,AUT,624272.214035,0.018191,0.016961,0.017119,0.070207,0.001486,neutron,pi+,solid
31,11.0,0.127893,0.591230,0.673485,1.476441,0.465292,AUT,17950936.463023,0.002771,0.002598,0.002604,0.070207,0.001225,neutron,pi+,solid
32,11.0,0.203240,0.564233,0.323969,2.340385,0.108610,AUT,11087938.347063,0.003626,0.003454,0.003463,0.070207,0.001321,neutron,pi+,solid
33,11.0,0.289629,0.428078,0.324569,2.533493,0.090171,AUT,7766485.501888,0.004643,0.004533,0.004525,0.070207,0.001475,neutron,pi+,solid
34,11.0,0.184067,0.614892,0.323623,2.300983,0.399107,AUT,11420903.121014,0.003230,0.003285,0.003291,0.070207,0.001286,neutron,pi+,solid
35,11.0,0.288136,0.423019,0.323232,2.487066,0.462651,AUT,4922922.864870,0.006087,0.009046,0.009029,0.070207,0.001471,neutron,pi+,solid
36,11.0,0.215623,0.540175,0.373983,2.369079,0.108034,AUT,11004259.116620,0.003547,0.003460,0.003485,0.070207,0.001355,neutron,pi+,solid
37,11.0,0.305285,0.407231,0.374084,2.552197,0.105899,AUT,4399422.840954,0.006596,0.006335,0.006339,0.070207,0.001519,neutron,pi+,solid
38,11.0,0.207141,0.570346,0.373405,2.335034,0.409406,AUT,11045935.429671,0.003746,0.003733,0.003754,0.070207,0.001334,neutron,pi+,solid
39,11.0,0.357843,0.366403,0.373916,2.705805,0.443151,AUT,431796.122344,0.035760,0.035088,0.035507,0.070207,0.001616,neutron,pi+,solid
40,11.0,0.210021,0.570943,0.375983,2.391580,0.687454,AUT,3156209.996083,0.006259,0.006336,0.006426,0.070207,0.001341,neutron,pi+,solid
41,11.0,0.233177,0.509560,0.423962,2.399138,0.110599,AUT,11037006.071654,0.003623,0.003565,0.003561,0.070207,0.001396,neutron,pi+,solid
42,11.0,0.336554,0.380263,0.423758,2.638481,0.127266,AUT,1167113.544856,0.015976,0.014168,0.014210,0.070207,0.001592,neutron,pi+,solid
43,11.0,0.201917,0.580779,0.423984,2.342474,0.480728,AUT,10860612.656437,0.003702,0.003663,0.003655,0.070207,0.001336,neutron,pi+,solid
44,11.0,0.338168,0.374754,0.423230,2.613602,0.444459,AUT,776071.301382,0.025469,0.023089,0.023312,0.070207,0.001595,neutron,pi+,solid
45,11.0,0.210059,0.555981,0.474121,2.367151,0.175169,AUT,10862811.660904,0.003790,0.003617,0.003609,0.070207,0.001363,neutron,pi+,solid
46,11.0,0.308804,0.402743,0.474336,2.553999,0.143409,AUT,3204712.394566,0.008214,0.007758,0.007744,0.070207,0.001553,neutron,pi+,solid
47,11.0,0.210766,0.561897,0.473572,2.344386,0.662194,AUT,4894398.311419,0.005130,0.005654,0.005658,0.070207,0.001360,neutron,pi+,solid
48,11.0,0.230543,0.521441,0.524152,2.401223,0.176829,AUT,11122178.788609,0.003848,0.003678,0.003682,0.070207,0.001411,neutron,pi+,solid
49,11.0,0.363220,0.368728,0.524055,2.763563,0.207874,AUT,332322.596028,0.050033,0.037186,0.037797,0.070207,0.001680,neutron,pi+,solid
50,11.0,0.198526,0.587696,0.523747,2.331067,0.688022,AUT,3551811.487162,0.006050,0.006374,0.006427,0.070207,0.001348,neutron,pi+,solid
51,11.0,0.227261,0.530487,0.573928,2.394447,0.249052,AUT,10962483.325822,0.003920,0.003725,0.003759,0.070207,0.001416,neutron,pi+,solid
52,11.0,0.389566,0.363087,0.568736,2.919590,0.220121,AUT,17376.334996,0.282120,0.194425,0.208241,0.070207,0.001760,neutron,pi+,solid
53,11.0,0.221625,0.540414,0.623829,2.387954,0.291179,AUT,9056286.880408,0.004229,0.004068,0.004103,0.070207,0.001419,neutron,pi+,solid
54,11.0,0.216433,0.550863,0.673350,2.390334,0.286822,AUT,6701554.305173,0.004935,0.004742,0.004769,0.070207,0.001425,neutron,pi+,solid
55,11.0,0.310088,0.533130,0.324463,3.365694,0.096368,AUT,5075548.286925,0.005721,0.005659,0.005649,0.070207,0.001514,neutron,pi+,solid
56,11.0,0.413044,0.420822,0.323936,3.585148,0.119022,AUT,842695.247820,0.021672,0.018615,0.018768,0.070207,0.001709,neutron,pi+,solid
57,11.0,0.318791,0.531087,0.323867,3.403925,0.490480,AUT,3357472.121021,0.007408,0.008595,0.008638,0.070207,0.001528,neutron,pi+,solid
58,11.0,0.306862,0.540757,0.374379,3.373900,0.122615,AUT,4853994.390453,0.005974,0.005861,0.005894,0.070207,0.001525,neutron,pi+,solid
59,11.0,0.414628,0.419198,0.374378,3.585218,0.148084,AUT,762442.832591,0.024959,0.020794,0.020881,0.070207,0.001737,neutron,pi+,solid
60,11.0,0.322348,0.518672,0.373311,3.376961,0.607074,AUT,1793129.303239,0.009728,0.013568,0.013612,0.070207,0.001552,neutron,pi+,solid
61,11.0,0.318338,0.525710,0.423885,3.384949,0.161170,AUT,4934874.595748,0.006134,0.005991,0.006009,0.070207,0.001561,neutron,pi+,solid
62,11.0,0.444460,0.410657,0.424183,3.767275,0.198130,AUT,138720.132568,0.089401,0.065508,0.066681,0.070207,0.001833,neutron,pi+,solid
63,11.0,0.319311,0.525682,0.474001,3.393292,0.235636,AUT,4688222.098053,0.006366,0.006228,0.006249,0.070207,0.001578,neutron,pi+,solid
64,11.0,0.319456,0.525749,0.523895,3.394119,0.228805,AUT,3733292.950993,0.007180,0.007042,0.007037,0.070207,0.001595,neutron,pi+,solid
65,11.0,0.318113,0.527429,0.573878,3.393078,0.221182,AUT,2908901.558525,0.008201,0.008024,0.008060,0.070207,0.001612,neutron,pi+,solid
66,11.0,0.313175,0.533999,0.623716,3.392657,0.212656,AUT,2194253.816870,0.009470,0.009306,0.009266,0.070207,0.001624,neutron,pi+,solid
67,11.0,0.304216,0.546056,0.673347,3.385233,0.212070,AUT,1557884.623048,0.011072,0.010952,0.011003,0.070207,0.001628,neutron,pi+,solid
68,11.0,0.360486,0.603328,0.324089,4.444888,0.226225,AUT,3033648.315966,0.007879,0.007909,0.007935,0.070207,0.001610,neutron,pi+,solid
69,11.0,0.475598,0.448112,0.323861,4.397761,0.245211,AUT,237176.510331,0.046625,0.040491,0.041154,0.070207,0.001862,neutron,pi+,solid
70,11.0,0.368509,0.592749,0.373962,4.444360,0.228861,AUT,2601387.518034,0.008807,0.008747,0.008746,0.070207,0.001646,neutron,pi+,solid
71,11.0,0.368019,0.593623,0.424117,4.447614,0.228020,AUT,2072629.525010,0.009990,0.009873,0.009840,0.070207,0.001665,neutron,pi+,solid
72,11.0,0.367051,0.595176,0.474162,4.447555,0.228490,AUT,1656306.299299,0.011267,0.011100,0.011104,0.070207,0.001682,neutron,pi+,solid
73,11.0,0.367776,0.593713,0.523865,4.444492,0.228107,AUT,1321602.261040,0.012869,0.012624,0.012597,0.070207,0.001705,neutron,pi+,solid
74,11.0,0.365673,0.596767,0.573850,4.446550,0.224683,AUT,1048776.361845,0.014564,0.014280,0.014297,0.070207,0.001725,neutron,pi+,solid
75,11.0,0.361733,0.602916,0.623777,4.457719,0.219798,AUT,791487.429223,0.016774,0.016523,0.016516,0.070207,0.001743,neutron,pi+,solid
76,11.0,0.442915,0.598920,0.323935,5.431585,0.210459,AUT,1737917.506735,0.011462,0.011480,0.011530,0.070207,0.001787,neutron,pi+,solid
77,11.0,0.441495,0.600339,0.374216,5.427915,0.204566,AUT,1394787.883462,0.012957,0.012941,0.012929,0.070207,0.001812,neutron,pi+,solid
78,11.0,0.441961,0.600030,0.424131,5.431522,0.200401,AUT,1123675.225852,0.014746,0.014684,0.014624,0.070207,0.001840,neutron,pi+,solid
79,11.0,0.441722,0.600316,0.474102,5.430519,0.194271,AUT,889015.297920,0.016754,0.016615,0.016563,0.070207,0.001866,neutron,pi+,solid
80,11.0,0.442325,0.599896,0.523926,5.433778,0.191982,AUT,706864.522066,0.019090,0.018933,0.018963,0.070207,0.001897,neutron,pi+,solid
81,11.0,0.440773,0.601219,0.573908,5.429914,0.192152,AUT,560840.310837,0.021802,0.021596,0.021651,0.070207,0.001926,neutron,pi+,solid
82,11.0,0.519963,0.617730,0.324191,6.604399,0.194494,AUT,837911.278833,0.018414,0.018452,0.018474,0.070207,0.002006,neutron,pi+,solid
83,11.0,0.519979,0.617602,0.374169,6.603919,0.180683,AUT,676570.892854,0.020823,0.020780,0.020810,0.070207,0.002045,neutron,pi+,solid
84,11.0,0.520535,0.617069,0.424100,6.604636,0.172923,AUT,540389.188462,0.023750,0.023678,0.023625,0.070207,0.002085,neutron,pi+,solid
85,8.8,0.132601,0.589065,0.323659,1.258888,0.211456,AUT,19338501.968609,0.002453,0.002357,0.002360,0.070207,0.001799,neutron,pi+,solid
86,8.8,0.212753,0.450699,0.323722,1.572734,0.168194,AUT,9533074.546220,0.003644,0.003778,0.003775,0.070207,0.002017,neutron,pi+,solid
87,8.8,0.148753,0.585660,0.325718,1.370540,0.483385,AUT,11282335.553212,0.003028,0.003031,0.003028,0.070207,0.001839,neutron,pi+,solid
88,8.8,0.151987,0.550824,0.373849,1.332599,0.177418,AUT,19471269.018668,0.002604,0.002456,0.002474,0.070207,0.001861,neutron,pi+,solid
89,8.8,0.254886,0.416300,0.373456,1.749312,0.125333,AUT,1500739.180481,0.010335,0.010028,0.009990,0.070207,0.002154,neutron,pi+,solid
90,8.8,0.152240,0.570594,0.375093,1.361553,0.507285,AUT,12699721.575731,0.002889,0.002969,0.002955,0.070207,0.001859,neutron,pi+,solid
91,8.8,0.139612,0.574111,0.423892,1.284982,0.289281,AUT,19277082.352409,0.002417,0.002375,0.002370,0.070207,0.001837,neutron,pi+,solid
92,8.8,0.225417,0.441031,0.424043,1.633503,0.241404,AUT,5609533.377720,0.005014,0.005177,0.005171,0.070207,0.002085,neutron,pi+,solid
93,8.8,0.159520,0.539304,0.473741,1.360550,0.269982,AUT,18827320.439811,0.002562,0.002502,0.002515,0.070207,0.001898,neutron,pi+,solid
94,8.8,0.295785,0.394660,0.472847,1.927454,0.201049,AUT,68088.411944,0.079071,0.065643,0.065406,0.070207,0.002304,neutron,pi+,solid
95,8.8,0.154766,0.554079,0.523932,1.356285,0.344145,AUT,17801871.127115,0.002569,0.002522,0.002555,0.070207,0.001894,neutron,pi+,solid
96,8.8,0.153575,0.558166,0.573928,1.357717,0.342649,AUT,13820314.993936,0.002958,0.002897,0.002898,0.070207,0.001901,neutron,pi+,solid
97,8.8,0.150375,0.565610,0.623529,1.350068,0.337759,AUT,10463117.952219,0.003396,0.003308,0.003323,0.070207,0.001904,neutron,pi+,solid
98,8.8,0.145242,0.581818,0.673121,1.349890,0.327005,AUT,7173243.444754,0.004237,0.004069,0.004089,0.070207,0.001903,neutron,pi+,solid
99,8.8,0.279127,0.504785,0.324166,2.298986,0.242900,AUT,4810957.121509,0.005743,0.005875,0.005851,0.070207,0.002198,neutron,pi+,solid
100,8.8,0.279473,0.504476,0.374244,2.300521,0.254252,AUT,3928918.373056,0.006414,0.006483,0.006495,0.070207,0.002221,neutron,pi+,solid
101,8.8,0.278085,0.506167,0.424078,2.296406,0.257987,AUT,3164140.545823,0.007163,0.007235,0.007226,0.070207,0.002236,neutron,pi+,solid
