Nu	Nd	a	b	c	kt2	Nu_err	Nd_err	a_err	b_err	c_err	kt2_err	chi2	ndof	edm
0.4002356528746536	-0.44849493632556076	0.9731161982606427	2.848574435850419	-0.007072780090745874	0.24822739606730385	0.02339734355422239	0.025776777533009176	0.026254044209056363	0.12258463348080824	0.088392859315289	0.004712200228600974	1716.5459196382747	1800	0.0001648403360133582
0.8129394376330082	-0.9264417918831821	1.139710551796754	2.8648610464529014	-0.7851432565738056	0.2555585472774042	0.19176916959376922	0.21908723235064909	0.050781032386418554	0.1937611359285525	0.17690981973188996	0.004596897435161652	1711.8291946592049	1800	0.0032664376009039872
0.2338764879019275	-0.257472845319825	0.9769437973290411	3.3249924147937353	1.1708081006771056	0.24826960404793103	0.1272965510186695	0.14018347933868572	0.07143654744180923	0.1257606922493732	1.4888720366496795	0.0047061608985453935	1658.136799440239	1800	6.285425899348682e-05
0.2420925276982769	-0.27172126945329667	0.9372001792611884	3.0515076202286253	1.0302702754720403	0.25027114939488737	0.09235715325306144	0.10363816512796589	0.05447259376877733	0.12367049810190511	0.9870926066853586	0.004767956358444407	1600.8547615442887	1800	0.00027481418199089405
0.2540088035831919	-0.2878104695888523	0.9128211576979549	2.8155650490926027	0.9214316482948323	0.25383343149665194	0.09736472804920329	0.11027383175435498	0.05556768061484213	0.12136033041014775	0.9404581323114787	0.004832037081734644	1742.8443409316778	1800	0.00019463045963296558
0.7640731270194115	-0.8667919777417801	1.0984783483042402	2.7385967184389126	-0.7391107443194361	0.2506064872350958	0.20261646257802643	0.22853749374986537	0.05631749650219878	0.18874667564227124	0.20862140303104657	0.004778321836931177	1571.4354394915842	1800	0.00293949220179976
0.4070823213246064	-0.4466985621714864	0.9867332394082889	2.860493953810587	-0.0014968658408891719	0.24741351986002924	0.02374530734298164	0.02563760358257145	0.02623357348878207	0.12195798991618201	0.08843376648365957	0.00470829434619891	1640.9746042857435	1800	8.108656668668453e-05
0.4039972070041791	-0.44751120607664885	0.9980542914118417	2.972103904275818	-0.0015238750518318464	0.2516707970459062	0.023567909917743293	0.025671884799880543	0.02644031516095941	0.12384996757586311	0.08877235320704188	0.004734847037928729	1570.5267264676215	1800	5.4013453409514794e-05
0.25005416409777104	-0.2836346616339014	0.934640578251269	3.0045366864085565	0.958831676362263	0.2572845683038456	0.06041244734421132	0.06985504287592514	0.041921008999978325	0.12847151121345834	0.6132479072522263	0.004774471881668017	1641.7647797833515	1800	5.8506220073388805e-05
0.39902317205439947	-0.45091262165030466	0.9832154941342816	2.9435143571206153	-0.0016184880229684212	0.2507144422456854	0.02316253080722393	0.02571818529832936	0.026080129946551706	0.12186049373734573	0.08834927833554722	0.0046941406807111475	1650.520158340783	1800	1.6577745623559816e-06
0.4006143246548138	-0.45147190217662525	0.9708576763130501	2.7735758789026574	-0.0002655158479698013	0.24359870180374235	0.023284024801907482	0.025792861725817923	0.025910632007001833	0.11960437897593369	0.08792219847894367	0.0046360932135531534	1698.1614226816487	1800	2.4650491288174645e-05
0.2535373002140362	-0.2827305997713928	0.9457473074162956	3.084546981064326	0.9293441743084883	0.25150624881451245	0.10573714495307913	0.11787912437070154	0.06031346993769268	0.1274038945790112	1.0375344586306317	0.0045274007178447715	1615.439744858409	1800	0.00017909477256707304
0.23782011658512583	-0.262424824150158	0.9376697625749532	3.0116643521973985	1.1065565804838133	0.24786984474081533	0.013811317367628462	0.014979723603900848	0.025901784264693518	0.12277815699421371	0.15216509236248557	0.004700361806698798	1603.3232668089408	1800	1.9503824605616675e-05
0.7854442431087507	-0.8905117778136006	1.113908648518621	2.7542174496860237	-0.759134718389176	0.2412373164105941	0.1949774120039783	0.2207442954936675	0.05101612907504919	0.20163809472598826	0.19028888793091803	0.004577820338544077	1679.2693159260843	1800	0.002341007792374124
1.030794066416405	-1.1671983659467526	1.1451866872286085	2.5080960838072954	-0.9428057616313201	0.2386276874517985	0.18950686411922563	0.2086572346318029	0.0378023108652382	0.21020405933427894	0.10070187372948419	0.004590869108169108	1679.79048058038	1800	0.0060424589307633
0.3966404134915766	-0.45048174628744414	0.9792418592192635	2.9070219831703152	-0.005352888051059786	0.24590215958834616	0.023104781092845098	0.02578012290843089	0.026174267189022216	0.122138326320266	0.088324108545865	0.004641527472638957	1687.9394305063395	1800	5.087766403188405e-06
0.734426398883473	-0.8526918637217151	1.0747125039032492	2.6665510039066787	-0.7245301305435051	0.2464499547764164	0.1852133616023329	0.21892217426578456	0.0485235431363552	0.1997848424639171	0.2032347250127003	0.004670042603309255	1742.111926585148	1800	0.0001990664722757218
0.9413495561740111	-1.062236840033654	1.141096020451716	2.6246375105929363	-0.8774185465615012	0.24666259253367132	0.18161323402236776	0.20249908520806612	0.04219688150300982	0.1938419919918834	0.12221421105522101	0.004582084637500339	1664.5935944173555	1800	0.002686063298167194
