Q2	x	y	z	pT	obs	target	hadron	value	error
9.3975	0.6297	0.7229830736	0.45067	0.66049	AUTsivers	neutron	pi+	-0.006208064415793011	0.13934
3.151	0.17269	0.8839561105	0.44602	0.88179	AUTsivers	neutron	pi+	-0.08657835388988362	0.017245
4.3528	0.24569	0.8582834164	0.44888	0.87582	AUTsivers	neutron	pi+	-0.07210203062355301	0.013047
5.7767	0.34012	0.8228053981	0.45446	0.86595	AUTsivers	neutron	pi+	-0.05166715630348349	0.021961
7.143	0.4387	0.7887920128	0.45786	0.8607	AUTsivers	neutron	pi+	-0.03222236735419636	0.052746
8.3835	0.53613	0.7575385665	0.45841	0.85511	AUTsivers	neutron	pi+	-0.017117095981734682	0.17783
3.1276	0.17109	0.8855968575	0.45588	1.0636	AUTsivers	neutron	pi+	-0.09527118212295571	0.036492
4.2933	0.24028	0.8656116679	0.46073	1.0579	AUTsivers	neutron	pi+	-0.08083630138170293	0.03429
5.7773	0.33647	0.8318175143	0.46562	1.0515	AUTsivers	neutron	pi+	-0.05800774981986818	0.086818
6.9886	0.46762	0.7240133846	0.54166	0.1612	AUTsivers	neutron	pi+	-0.008004290416161443	0.084754
8.071	0.55283	0.7072699939	0.54415	0.14044	AUTsivers	neutron	pi+	-0.003959418646875334	0.052794
9.1461	0.64563	0.6862806152	0.54471	0.12986	AUTsivers	neutron	pi+	-0.0015879189140606796	0.069727
5.8823	0.36657	0.7773914129	0.53842	0.34748	AUTsivers	neutron	pi+	-0.027674515653182144	0.040097
7.0398	0.45215	0.754270764	0.54296	0.32073	AUTsivers	neutron	pi+	-0.016933788108724222	0.023632
8.1857	0.5462	0.7260284127	0.54459	0.30778	AUTsivers	neutron	pi+	-0.008863926354137347	0.027884
9.2409	0.64214	0.6971625272	0.54443	0.30148	AUTsivers	neutron	pi+	-0.0037108918049766713	0.048831
4.5956	0.26763	0.8318727829	0.5357	0.53892	AUTsivers	neutron	pi+	-0.058086203278504396	0.028459
5.8212	0.3518	0.8016156257	0.54255	0.50842	AUTsivers	neutron	pi+	-0.04121261994660796	0.016075
7.0685	0.44665	0.7666716649	0.54481	0.49828	AUTsivers	neutron	pi+	-0.02571398263203378	0.017791
8.2299	0.54381	0.7331567838	0.5458	0.49364	AUTsivers	neutron	pi+	-0.013682001490071108	0.027295
9.3094	0.63441	0.7108879616	0.54373	0.48267	AUTsivers	neutron	pi+	-0.006072828848960845	0.059587
3.2228	0.17752	0.8794994139	0.53587	0.72378	AUTsivers	neutron	pi+	-0.09000602824111388	0.032715
4.4286	0.25241	0.8499813321	0.54258	0.69943	AUTsivers	neutron	pi+	-0.07400686106693473	0.014606
5.8002	0.34712	0.8094924835	0.54523	0.69124	AUTsivers	neutron	pi+	-0.052661630365285164	0.015254
7.0819	0.4441	0.7725356067	0.54688	0.68588	AUTsivers	neutron	pi+	-0.0330132695234146	0.021554
8.2876	0.54022	0.74320327	0.54878	0.67789	AUTsivers	neutron	pi+	-0.017826395607711078	0.040738
9.3662	0.62	0.7318485662	0.53977	0.65314	AUTsivers	neutron	pi+	-0.008703336607491686	0.14583
3.1633	0.1735	0.8832637173	0.54494	0.88813	AUTsivers	neutron	pi+	-0.10166820914886976	0.025565
4.3842	0.24862	0.8542869738	0.54595	0.88519	AUTsivers	neutron	pi+	-0.08478227012352452	0.016786
5.7889	0.34429	0.8145563383	0.54823	0.87968	AUTsivers	neutron	pi+	-0.06061118511122968	0.022239
7.1104	0.44062	0.7817705667	0.5515	0.87166	AUTsivers	neutron	pi+	-0.038460559353772114	0.039533
8.2877	0.52904	0.7589182576	0.5487	0.85555	AUTsivers	neutron	pi+	-0.02188273351283467	0.11168
3.1511	0.17271	0.8838817974	0.54762	1.0789	AUTsivers	neutron	pi+	-0.10698719136757862	0.038057
4.3496	0.24558	0.8580366006	0.5498	1.0741	AUTsivers	neutron	pi+	-0.09009739809963038	0.028842
5.7791	0.34004	0.8233409015	0.5546	1.066	AUTsivers	neutron	pi+	-0.06537616123476873	0.049244
8.0429	0.55432	0.7029130549	0.6441	0.13992	AUTsivers	neutron	pi+	-0.005047885393640304	0.079582
9.0863	0.63566	0.6924870828	0.63639	0.12935	AUTsivers	neutron	pi+	-0.002302272396471985	0.11777
5.9114	0.3739	0.7659216941	0.63808	0.35293	AUTsivers	neutron	pi+	-0.03368051725985453	0.090548
7.0203	0.45495	0.7475521426	0.64261	0.32432	AUTsivers	neutron	pi+	-0.02114917464956129	0.038975
8.1687	0.54718	0.7232229851	0.64432	0.30936	AUTsivers	neutron	pi+	-0.011354919552713642	0.041442
9.1765	0.62869	0.7071149269	0.63394	0.29665	AUTsivers	neutron	pi+	-0.005432159131552719	0.087255
4.6979	0.27872	0.8165544001	0.634	0.55133	AUTsivers	neutron	pi+	-0.06891943515244867	0.085189
5.8404	0.35655	0.7935451472	0.64163	0.51705	AUTsivers	neutron	pi+	-0.05004260336923576	0.028431
7.0628	0.44789	0.7639325779	0.64437	0.50146	AUTsivers	neutron	pi+	-0.0318558611059324	0.026151
8.2043	0.54252	0.7326140918	0.64315	0.49437	AUTsivers	neutron	pi+	-0.017479597510840616	0.038822
9.2447	0.61949	0.7229495818	0.62585	0.47041	AUTsivers	neutron	pi+	-0.008660153360895513	0.13181
3.321	0.18475	0.8708310731	0.6273	0.75842	AUTsivers	neutron	pi+	-0.1058338043952374	0.12627
4.5109	0.25971	0.841441671	0.6401	0.71335	AUTsivers	neutron	pi+	-0.0869153404867757	0.028006
5.805	0.34856	0.8068153752	0.64466	0.69517	AUTsivers	neutron	pi+	-0.06320555375120826	0.022247
7.0719	0.44549	0.7690377165	0.64553	0.6904	AUTsivers	neutron	pi+	-0.04010977637125308	0.028587
8.2003	0.53219	0.7464702773	0.63784	0.67384	AUTsivers	neutron	pi+	-0.0230328261585049	0.057855
3.196	0.17564	0.8815213413	0.64113	0.90096	AUTsivers	neutron	pi+	-0.11688174190128171	0.045299
4.402	0.2502	0.8523387269	0.64513	0.89015	AUTsivers	neutron	pi+	-0.09846213461253196	0.024083
5.7971	0.34651	0.8104841165	0.64651	0.8856	AUTsivers	neutron	pi+	-0.07081168952845415	0.027942
7.0529	0.43835	0.7794642551	0.64375	0.87336	AUTsivers	neutron	pi+	-0.046052765056323254	0.0455
3.158	0.17319	0.8833621811	0.64632	1.0836	AUTsivers	neutron	pi+	-0.12003038168729008	0.04997
4.3795	0.24825	0.8546430439	0.64739	1.0819	AUTsivers	neutron	pi+	-0.10126486675565738	0.034159
5.7563	0.34079	0.8182877807	0.64694	1.0712	AUTsivers	neutron	pi+	-0.07409277156735851	0.048738
3.5744	0.27211	0.7954596426	0.30881	0.17974	AUTsivers	neutron	pi+	-0.011197024517908053	0.037219
4.4643	0.35232	0.767318335	0.32032	0.16155	AUTsivers	neutron	pi+	-0.007651236358555859	0.018107
5.4153	0.4444	0.7379177759	0.32844	0.14318	AUTsivers	neutron	pi+	-0.004365145469827161	0.02075
6.383	0.53963	0.7162889647	0.33381	0.13121	AUTsivers	neutron	pi+	-0.0021356731467281845	0.038373
7.347	0.63538	0.7002224025	0.33775	0.12448	AUTsivers	neutron	pi+	-0.000839606941542136	0.1006
2.4371	0.17101	0.8630010902	0.29742	0.33841	AUTsivers	neutron	pi+	-0.026604072976860592	0.0074665
3.3903	0.24818	0.8272387145	0.30743	0.31871	AUTsivers	neutron	pi+	-0.021118913682866863	0.0051636
4.4435	0.34318	0.7840842248	0.3184	0.30437	AUTsivers	neutron	pi+	-0.014700460786366942	0.0070329
5.4403	0.43945	0.7496747473	0.32659	0.29213	AUTsivers	neutron	pi+	-0.008979589623337439	0.013114
6.4156	0.53622	0.7245256615	0.33243	0.28198	AUTsivers	neutron	pi+	-0.004626743824610245	0.033392
7.369	0.6328	0.7051825999	0.3369	0.27716	AUTsivers	neutron	pi+	-0.0018918085190926916	0.11793
2.3971	0.16759	0.8661588609	0.30524	0.48377	AUTsivers	neutron	pi+	-0.03867762152170874	0.0051901
3.3338	0.2413	0.8366459672	0.31223	0.4721	AUTsivers	neutron	pi+	-0.03184873508551902	0.0051603
4.4348	0.33764	0.7953891253	0.32116	0.46016	AUTsivers	neutron	pi+	-0.022475572141798128	0.011266
5.4671	0.4369	0.7577648825	0.32773	0.45825	AUTsivers	neutron	pi+	-0.014002681105698304	0.035571
6.4407	0.53623	0.7273466869	0.33295	0.46025	AUTsivers	neutron	pi+	-0.007366357957972065	0.14735
2.3491	0.16346	0.870260981	0.32473	0.64195	AUTsivers	neutron	pi+	-0.053571204540509614	0.015393
3.2818	0.23406	0.8490717895	0.32797	0.63679	AUTsivers	neutron	pi+	-0.04478748363537128	0.023299
4.4647	0.33384	0.809866458	0.33206	0.63047	AUTsivers	neutron	pi+	-0.03132698001756949	0.10845
3.6102	0.28252	0.7738228789	0.38152	0.18069	AUTsivers	neutron	pi+	-0.013949552993945775	0.081437
4.4534	0.36021	0.7486786371	0.39057	0.15988	AUTsivers	neutron	pi+	-0.009299204238159347	0.019891
5.3244	0.45049	0.7157230789	0.39387	0.13861	AUTsivers	neutron	pi+	-0.0051282688017373675	0.015524
6.1538	0.54547	0.6831750686	0.39621	0.12666	AUTsivers	neutron	pi+	-0.0024778966631903467	0.020651
6.9662	0.63998	0.6591572581	0.39916	0.12304	AUTsivers	neutron	pi+	-0.0010085166046936087	0.038568
2.4997	0.17686	0.8558896432	0.3816	0.36251	AUTsivers	neutron	pi+	-0.037043641970486874	0.019516
3.4398	0.25539	0.8156217635	0.39006	0.33075	AUTsivers	neutron	pi+	-0.02810646346040544	0.0078513
4.4351	0.3483	0.7710977638	0.3937	0.30928	AUTsivers	neutron	pi+	-0.01877131863819518	0.0072135
5.365	0.44446	0.7309649384	0.39589	0.29786	AUTsivers	neutron	pi+	-0.011266473972764363	0.0098417
6.2288	0.54144	0.6966482508	0.39816	0.28755	AUTsivers	neutron	pi+	-0.005734502958058034	0.018653
7.0282	0.63762	0.6674852641	0.40089	0.28178	AUTsivers	neutron	pi+	-0.002343124996188214	0.047766
2.423	0.16997	0.8632580589	0.3926	0.50157	AUTsivers	neutron	pi+	-0.05196815095305321	0.0071557
3.3745	0.24702	0.8272500779	0.39527	0.49315	AUTsivers	neutron	pi+	-0.04214318063843609	0.0053918
4.4278	0.3423	0.7833224948	0.39937	0.47893	AUTsivers	neutron	pi+	-0.02924255562092735	0.0079931
5.4052	0.44001	0.7438900042	0.40231	0.47	AUTsivers	neutron	pi+	-0.017933571263138805	0.01705
6.2747	0.53996	0.7037053933	0.40309	0.46909	AUTsivers	neutron	pi+	-0.009263224499387072	0.051853
7.0446	0.62976	0.6773930986	0.40118	0.46093	AUTsivers	neutron	pi+	-0.004027203918494635	0.17196
2.3919	0.16721	0.866244068	0.40091	0.67356	AUTsivers	neutron	pi+	-0.06791282002324425	0.0088925
3.3193	0.2397	0.8385673975	0.40617	0.6629	AUTsivers	neutron	pi+	-0.056515529349787735	0.0093697
4.4381	0.33746	0.7964055595	0.41117	0.65408	AUTsivers	neutron	pi+	-0.0398533097730091	0.024293
5.4712	0.43888	0.7549119534	0.41333	0.65006	AUTsivers	neutron	pi+	-0.024357789401131827	0.092974
6.3832	0.53741	0.7192704366	0.41495	0.64333	AUTsivers	neutron	pi+	-0.012720287311450631	0.32639
2.3416	0.16286	0.8706784203	0.42047	0.8454	AUTsivers	neutron	pi+	-0.08344664665474705	0.030412
3.2747	0.23318	0.8504322547	0.42418	0.84017	AUTsivers	neutron	pi+	-0.07051088741269261	0.048751
4.4622	0.36607	0.7381496094	0.49124	0.1613	AUTsivers	neutron	pi+	-0.011999333723149382	0.036426
5.3109	0.4523	0.711051469	0.49416	0.13892	AUTsivers	neutron	pi+	-0.00674158738170319	0.023026
6.1295	0.54668	0.678971219	0.49514	0.12759	AUTsivers	neutron	pi+	-0.003325921720391146	0.02863
6.9017	0.63797	0.6551116497	0.49343	0.12531	AUTsivers	neutron	pi+	-0.0014345261924425452	0.052063
2.5966	0.1875	0.838616267	0.4744	0.37814	AUTsivers	neutron	pi+	-0.0473502284239603	0.10619
3.4993	0.26328	0.8048645679	0.48888	0.34348	AUTsivers	neutron	pi+	-0.03641018797688724	0.01661
4.4381	0.35071	0.7663169574	0.49353	0.31506	AUTsivers	neutron	pi+	-0.02452366888554572	0.011202
5.3518	0.44616	0.7263881412	0.49508	0.30396	AUTsivers	neutron	pi+	-0.0149079003877935	0.013463
6.1975	0.54292	0.6912580417	0.49631	0.29527	AUTsivers	neutron	pi+	-0.007741227068278328	0.022793
6.9645	0.63196	0.6673595105	0.49328	0.28311	AUTsivers	neutron	pi+	-0.0033695163708000134	0.055195
2.4551	0.17278	0.8604689794	0.48973	0.51935	AUTsivers	neutron	pi+	-0.06623517777585693	0.013931
3.3978	0.25008	0.82276982	0.4937	0.50171	AUTsivers	neutron	pi+	-0.053388494941156744	0.0081868
4.4298	0.34552	0.7763730106	0.49602	0.49237	AUTsivers	neutron	pi+	-0.03742691388698957	0.0097718
5.3849	0.44177	0.7381437114	0.49845	0.48185	AUTsivers	neutron	pi+	-0.023214401161290563	0.016407
6.252	0.53946	0.7018094681	0.49928	0.47556	AUTsivers	neutron	pi+	-0.012263347671058012	0.040437
7.0382	0.61994	0.6874980116	0.48986	0.45405	AUTsivers	neutron	pi+	-0.005778498195820486	0.16929
2.4134	0.16917	0.863903952	0.49516	0.69087	AUTsivers	neutron	pi+	-0.08329086851095975	0.011286
3.3597	0.24515	0.8299044694	0.49767	0.68302	AUTsivers	neutron	pi+	-0.06886706452731291	0.0093457
4.4259	0.34002	0.7882366713	0.50204	0.67058	AUTsivers	neutron	pi+	-0.04903697786443573	0.016266
5.4207	0.43936	0.7471268749	0.50383	0.66628	AUTsivers	neutron	pi+	-0.030533912787069708	0.043707
6.2717	0.53006	0.7165058582	0.49915	0.65446	AUTsivers	neutron	pi+	-0.016811259315924712	0.16939
2.3852	0.16663	0.8668243608	0.50245	0.86961	AUTsivers	neutron	pi+	-0.09652748749331486	0.0181
3.3073	0.23819	0.8408326517	0.50732	0.86072	AUTsivers	neutron	pi+	-0.08172656552716878	0.020457
4.4401	0.3366	0.7988001568	0.51159	0.85344	AUTsivers	neutron	pi+	-0.0583495844824025	0.060855
5.4659	0.43421	0.7622920006	0.51211	0.84482	AUTsivers	neutron	pi+	-0.036765357914765984	0.2696
4.468	0.37083	0.7296218057	0.59178	0.16134	AUTsivers	neutron	pi+	-0.01481415558324515	0.063545
