i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
190,11.0,0.123567,0.588786,0.473589,1.501570,0.307774,AUT,18921549.782457,0.002291,0.002284,0.002282,0.070207,0.001192,neutron,pi+,solid
191,11.0,0.132796,0.571025,0.473669,1.564920,0.304035,AUT,19132611.190245,0.002347,0.002323,0.002321,0.070207,0.001209,neutron,pi+,solid
192,11.0,0.142801,0.547915,0.473782,1.614687,0.300101,AUT,19103315.828630,0.002468,0.002407,0.002412,0.070207,0.001229,neutron,pi+,solid
193,11.0,0.154620,0.522172,0.473960,1.665919,0.296720,AUT,19188639.228359,0.002699,0.002543,0.002547,0.070207,0.001252,neutron,pi+,solid
194,11.0,0.170184,0.486682,0.474116,1.708306,0.292398,AUT,19065829.200459,0.003338,0.002893,0.002893,0.070207,0.001282,neutron,pi+,solid
195,11.0,0.194877,0.434086,0.474195,1.742508,0.291449,AUT,18963246.555647,0.004679,0.003706,0.003711,0.070207,0.001331,neutron,pi+,solid
196,11.0,0.246390,0.356955,0.474277,1.803237,0.289445,AUT,18837786.038818,0.002866,0.003079,0.003072,0.070207,0.001430,neutron,pi+,solid
197,11.0,0.308655,0.311452,0.474318,1.984324,0.291816,AUT,42044.473935,0.080965,0.084907,0.084344,0.070207,0.001549,neutron,pi+,solid
198,11.0,0.068818,0.772148,0.473088,1.093753,0.509156,AUT,19269541.282814,0.002107,0.002091,0.002097,0.070207,0.001098,neutron,pi+,solid
199,11.0,0.079880,0.706120,0.473527,1.163671,0.501489,AUT,19277841.558685,0.002122,0.002121,0.002113,0.070207,0.001116,neutron,pi+,solid
200,11.0,0.087842,0.678362,0.473682,1.229834,0.497344,AUT,19332096.536584,0.002161,0.002147,0.002147,0.070207,0.001129,neutron,pi+,solid
201,11.0,0.095764,0.663402,0.473791,1.311189,0.495272,AUT,20015875.775746,0.002188,0.002158,0.002149,0.070207,0.001142,neutron,pi+,solid
202,11.0,0.103941,0.650175,0.474037,1.394834,0.493443,AUT,18905267.739992,0.002332,0.002275,0.002276,0.070207,0.001156,neutron,pi+,solid
203,11.0,0.112515,0.637367,0.474010,1.480098,0.492247,AUT,18845868.570534,0.002458,0.002351,0.002357,0.070207,0.001172,neutron,pi+,solid
204,11.0,0.122149,0.623521,0.474113,1.571872,0.491224,AUT,19226574.744678,0.002567,0.002420,0.002414,0.070207,0.001190,neutron,pi+,solid
205,11.0,0.133223,0.596044,0.474367,1.638335,0.488898,AUT,18803970.927099,0.002898,0.002607,0.002614,0.070207,0.001211,neutron,pi+,solid
206,11.0,0.148452,0.548028,0.474354,1.677306,0.487234,AUT,18982614.096710,0.003799,0.003099,0.003104,0.070207,0.001240,neutron,pi+,solid
207,11.0,0.175837,0.472692,0.474305,1.709913,0.489183,AUT,18700620.797348,0.004621,0.003798,0.003790,0.070207,0.001293,neutron,pi+,solid
208,11.0,0.232753,0.375631,0.474048,1.787890,0.488074,AUT,14291994.229487,0.003328,0.004419,0.004418,0.070207,0.001403,neutron,pi+,solid
209,11.0,0.067703,0.786771,0.473878,1.096284,0.693323,AUT,18472616.841572,0.002177,0.002150,0.002148,0.070207,0.001096,neutron,pi+,solid
210,11.0,0.081154,0.719078,0.474309,1.203652,0.687883,AUT,19222680.160814,0.002289,0.002208,0.002208,0.070207,0.001118,neutron,pi+,solid
211,11.0,0.093930,0.687516,0.474387,1.332356,0.686553,AUT,19088547.485864,0.002448,0.002310,0.002312,0.070207,0.001139,neutron,pi+,solid
212,11.0,0.109350,0.656094,0.474629,1.479786,0.685835,AUT,19241657.559274,0.002591,0.002411,0.002409,0.070207,0.001166,neutron,pi+,solid
213,11.0,0.130199,0.602810,0.474498,1.616136,0.685882,AUT,18841855.436575,0.002770,0.002581,0.002584,0.070207,0.001205,neutron,pi+,solid
214,11.0,0.174240,0.476336,0.474311,1.692522,0.689292,AUT,19076009.127679,0.002457,0.002677,0.002681,0.070207,0.001289,neutron,pi+,solid
215,11.0,0.239274,0.370934,0.472665,1.829348,0.667990,AUT,2244020.762230,0.011310,0.012588,0.012584,0.070207,0.001417,neutron,pi+,solid
216,11.0,0.077833,0.750636,0.475630,1.195648,0.875531,AUT,19450044.369600,0.002115,0.002111,0.002105,0.070207,0.001113,neutron,pi+,solid
217,11.0,0.127515,0.606593,0.475645,1.568793,0.874028,AUT,19098699.607471,0.002393,0.002354,0.002346,0.070207,0.001199,neutron,pi+,solid
218,11.0,0.197945,0.442976,0.475252,1.806167,0.855946,AUT,1609658.150685,0.020541,0.015427,0.015442,0.070207,0.001338,neutron,pi+,solid
