i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
458,11.0,0.158954,0.661311,0.523766,2.162383,0.301225,AUT,1053377.324414,0.022093,0.016369,0.016445,0.070207,0.001273,neutron,pi+,solid
459,11.0,0.185904,0.599782,0.524242,2.300406,0.290578,AUT,881248.095607,0.020115,0.016087,0.016170,0.070207,0.001329,neutron,pi+,solid
460,11.0,0.205941,0.578058,0.524558,2.456918,0.278408,AUT,706489.487847,0.019278,0.016555,0.016674,0.070207,0.001370,neutron,pi+,solid
461,11.0,0.226362,0.563361,0.524995,2.631381,0.267445,AUT,500126.691933,0.019959,0.018397,0.018462,0.070207,0.001413,neutron,pi+,solid
462,11.0,0.250490,0.508161,0.525925,2.622916,0.241130,AUT,310922.838875,0.022959,0.022370,0.022477,0.070207,0.001460,neutron,pi+,solid
463,11.0,0.286808,0.409878,0.525870,2.422299,0.234535,AUT,327034.808509,0.028545,0.025634,0.025707,0.070207,0.001527,neutron,pi+,solid
464,11.0,0.337845,0.371511,0.525223,2.588409,0.254518,AUT,501539.186792,0.040734,0.029889,0.030214,0.070207,0.001627,neutron,pi+,solid
465,11.0,0.153310,0.682831,0.524499,2.155253,0.485048,AUT,594720.116517,0.041568,0.027757,0.027856,0.070207,0.001262,neutron,pi+,solid
466,11.0,0.181750,0.641870,0.525365,2.407193,0.466044,AUT,305487.390127,0.043197,0.031958,0.032096,0.070207,0.001322,neutron,pi+,solid
467,11.0,0.209976,0.606423,0.524800,2.624457,0.469328,AUT,116565.276555,0.051363,0.044586,0.044943,0.070207,0.001380,neutron,pi+,solid
468,11.0,0.254729,0.434714,0.517334,2.273627,0.566683,AUT,39981.976594,0.073134,0.145595,0.144921,0.070207,0.001461,neutron,pi+,solid
469,11.0,0.297909,0.378644,0.512480,2.329474,0.576696,AUT,13628.547368,0.215751,0.342182,0.337946,0.070207,0.001543,neutron,pi+,solid
470,11.0,0.170226,0.633522,0.522978,2.202600,0.706662,AUT,620585.896881,0.014726,0.015681,0.015747,0.070207,0.001295,neutron,pi+,solid
471,11.0,0.245937,0.480859,0.521888,2.419572,0.706222,AUT,961581.828219,0.012367,0.021843,0.021950,0.070207,0.001445,neutron,pi+,solid
472,11.0,0.197207,0.594337,0.525250,2.373940,0.902304,AUT,904037.480856,0.013147,0.014241,0.014200,0.070207,0.001348,neutron,pi+,solid
473,11.0,0.197951,0.559852,0.573770,2.273842,0.124301,AUT,1894952.479600,0.008419,0.008319,0.008336,0.070207,0.001363,neutron,pi+,solid
474,11.0,0.244115,0.484550,0.573902,2.437370,0.116630,AUT,1923665.237828,0.008806,0.008775,0.008776,0.070207,0.001458,neutron,pi+,solid
475,11.0,0.299150,0.416379,0.573738,2.558725,0.123787,AUT,1618618.621844,0.010651,0.010457,0.010474,0.070207,0.001567,neutron,pi+,solid
476,11.0,0.165055,0.645239,0.573784,2.188232,0.300929,AUT,1087540.093458,0.019168,0.014878,0.014944,0.070207,0.001295,neutron,pi+,solid
477,11.0,0.197388,0.580511,0.574316,2.363980,0.286876,AUT,864587.322027,0.017209,0.014761,0.014858,0.070207,0.001364,neutron,pi+,solid
478,11.0,0.222779,0.557021,0.574671,2.560289,0.272491,AUT,629806.507556,0.017232,0.016063,0.016156,0.070207,0.001418,neutron,pi+,solid
479,11.0,0.252735,0.493994,0.575395,2.570718,0.246009,AUT,445918.381263,0.019269,0.018823,0.018864,0.070207,0.001478,neutron,pi+,solid
480,11.0,0.301437,0.395606,0.574875,2.455878,0.250318,AUT,553822.554364,0.024268,0.021076,0.021130,0.070207,0.001571,neutron,pi+,solid
481,11.0,0.353297,0.371835,0.572770,2.710689,0.264579,AUT,222922.464284,0.061984,0.045689,0.046612,0.070207,0.001679,neutron,pi+,solid
482,11.0,0.157975,0.670686,0.574381,2.179919,0.486424,AUT,640680.798870,0.044410,0.029542,0.029416,0.070207,0.001280,neutron,pi+,solid
483,11.0,0.191661,0.631762,0.575503,2.498661,0.464685,AUT,299989.075378,0.050828,0.036722,0.036822,0.070207,0.001354,neutron,pi+,solid
484,11.0,0.222283,0.609912,0.576037,2.794758,0.448548,AUT,60080.769134,0.085883,0.070950,0.071497,0.070207,0.001420,neutron,pi+,solid
485,11.0,0.283666,0.384233,0.561585,2.249865,0.563863,AUT,851.262515,0.865417,1.157207,1.107829,0.070207,0.001528,neutron,pi+,solid
486,11.0,0.168433,0.641548,0.573265,2.202813,0.707176,AUT,423688.183919,0.016747,0.017081,0.017099,0.070207,0.001301,neutron,pi+,solid
487,11.0,0.239603,0.486711,0.570010,2.397067,0.725898,AUT,341048.115198,0.020934,0.040319,0.040250,0.070207,0.001447,neutron,pi+,solid
488,11.0,0.193900,0.597733,0.574103,2.353616,0.917056,AUT,849962.275482,0.015312,0.017213,0.017208,0.070207,0.001353,neutron,pi+,solid
489,11.0,0.208199,0.541180,0.623842,2.308860,0.123522,AUT,1981675.308427,0.008363,0.008305,0.008307,0.070207,0.001397,neutron,pi+,solid
490,11.0,0.276580,0.444812,0.623434,2.522927,0.121192,AUT,2035614.844559,0.009062,0.009032,0.009025,0.070207,0.001539,neutron,pi+,solid
491,11.0,0.172307,0.627545,0.623925,2.219221,0.299940,AUT,1143013.155386,0.016284,0.013367,0.013370,0.070207,0.001321,neutron,pi+,solid
492,11.0,0.211583,0.560212,0.624353,2.444879,0.281133,AUT,856470.857689,0.014960,0.013813,0.013875,0.070207,0.001408,neutron,pi+,solid
493,11.0,0.248314,0.500199,0.624903,2.556197,0.256211,AUT,606747.647141,0.016511,0.016183,0.016194,0.070207,0.001485,neutron,pi+,solid
494,11.0,0.305265,0.407980,0.622839,2.565178,0.256073,AUT,545531.081592,0.022720,0.020484,0.020495,0.070207,0.001599,neutron,pi+,solid
495,11.0,0.163088,0.658893,0.624390,2.208884,0.487529,AUT,669608.557248,0.040111,0.027275,0.027273,0.070207,0.001302,neutron,pi+,solid
496,11.0,0.203715,0.619020,0.625425,2.601947,0.465075,AUT,269336.063424,0.047748,0.036157,0.036203,0.070207,0.001393,neutron,pi+,solid
497,11.0,0.239593,0.588003,0.627079,2.903094,0.433554,AUT,13912.967220,0.136240,0.134024,0.132844,0.070207,0.001472,neutron,pi+,solid
498,11.0,0.166624,0.653372,0.623612,2.218568,0.698269,AUT,317239.186569,0.023148,0.021288,0.021389,0.070207,0.001308,neutron,pi+,solid
499,11.0,0.237307,0.499079,0.617249,2.443306,0.742915,AUT,60244.241305,0.051405,0.117653,0.117813,0.070207,0.001458,neutron,pi+,solid
500,11.0,0.185038,0.616434,0.622806,2.323017,0.936586,AUT,584072.569579,0.019343,0.021095,0.021066,0.070207,0.001347,neutron,pi+,solid
501,11.0,0.220759,0.520642,0.673791,2.349197,0.123175,AUT,2079054.066350,0.008381,0.008339,0.008333,0.070207,0.001439,neutron,pi+,solid
